"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2019","135.49","135.98","135.98","132.01","560.90K","0.73%"
"Jan 16, 2019","134.51","134.00","136.00","133.74","1.35M","-0.01%"
"Jan 15, 2019","134.52","134.25","135.99","133.25","589.70K","0.20%"
"Jan 14, 2019","134.25","133.50","134.90","133.50","1.14M","0.99%"
"Jan 11, 2019","132.93","132.00","133.89","130.50","1.42M","0.70%"
"Jan 10, 2019","132.00","132.00","133.25","131.65","529.00K","0.00%"
"Jan 09, 2019","132.00","131.00","132.00","130.60","1.11M","1.21%"
"Jan 08, 2019","130.42","130.20","132.00","128.75","2.40M","0.52%"
"Jan 07, 2019","129.75","126.00","130.00","126.00","1.55M","2.98%"
"Jan 04, 2019","126.00","123.00","127.00","122.90","581.00K","2.02%"
"Jan 03, 2019","123.51","123.99","125.00","122.99","281.50K","0.73%"
"Jan 02, 2019","122.61","123.97","126.40","122.11","846.50K","-1.10%"
"Jan 01, 2019","123.97","119.35","124.00","118.12","1.19M","5.06%"
"Dec 31, 2018","118.00","119.06","124.00","117.50","2.76M","-1.87%"
"Dec 28, 2018","120.25","121.79","122.74","117.25","1.91M","-1.88%"
"Dec 27, 2018","122.56","126.00","126.39","119.04","715.30K","-1.65%"
"Dec 26, 2018","124.61","124.50","126.80","124.00","705.90K","0.08%"
"Dec 24, 2018","124.51","124.40","125.00","122.15","373.20K","0.40%"
"Dec 21, 2018","124.02","125.00","127.00","120.80","3.16M","-0.62%"
"Dec 20, 2018","124.79","126.49","127.90","123.50","1.38M","-0.55%"
"Dec 19, 2018","125.48","125.49","126.50","124.40","476.10K","0.38%"
"Dec 18, 2018","125.01","127.51","128.00","124.85","1.06M","-2.19%"
"Dec 17, 2018","127.81","131.00","131.00","127.25","573.00K","-2.81%"
"Dec 14, 2018","131.50","129.80","133.00","129.50","713.70K","1.15%"
"Dec 13, 2018","130.00","131.00","132.00","126.38","617.90K","-0.13%"
"Dec 12, 2018","130.17","133.00","134.20","129.50","1.39M","-3.00%"
"Dec 11, 2018","134.20","137.00","137.00","133.62","258.60K","-1.36%"
"Dec 10, 2018","136.05","134.00","138.00","133.50","1.51M","2.83%"
"Dec 07, 2018","132.30","132.00","133.99","130.99","769.30K","-0.15%"
"Dec 06, 2018","132.50","136.20","137.50","132.00","2.43M","-2.58%"
"Dec 05, 2018","136.01","138.75","138.75","133.51","2.09M","-1.44%"
"Dec 04, 2018","138.00","135.90","138.53","135.00","1.33M","2.67%"
"Dec 03, 2018","134.41","141.02","141.90","132.87","3.32M","-3.90%"
"Nov 30, 2018","139.86","142.50","146.00","136.99","7.56M","-1.93%"
"Nov 29, 2018","142.61","141.50","143.25","139.98","1.78M","1.36%"
"Nov 28, 2018","140.70","143.40","145.00","140.51","685.50K","-1.26%"
"Nov 27, 2018","142.50","139.90","143.11","137.50","1.51M","2.22%"
"Nov 26, 2018","139.40","137.00","140.00","137.00","812.10K","1.75%"
"Nov 23, 2018","137.00","135.15","137.75","132.48","1.39M","0.40%"
"Nov 22, 2018","136.46","140.50","142.50","135.26","1.26M","-4.14%"
"Nov 20, 2018","142.35","143.99","143.99","141.16","222.30K","-0.11%"
"Nov 19, 2018","142.50","144.00","145.50","141.55","630.40K","-1.49%"
"Nov 16, 2018","144.65","146.50","148.50","144.00","1.21M","-0.92%"
"Nov 15, 2018","146.00","140.00","146.22","139.11","2.68M","4.95%"
"Nov 14, 2018","139.11","137.00","142.90","135.99","1.51M","0.80%"
"Nov 13, 2018","138.00","138.00","139.00","136.30","359.00K","0.32%"
"Nov 12, 2018","137.56","141.00","141.95","137.56","844.10K","-1.11%"
"Nov 09, 2018","139.10","138.72","143.00","138.72","811.30K","-0.82%"
"Nov 08, 2018","140.25","144.00","144.10","140.10","507.80K","-2.26%"
"Nov 07, 2018","143.50","144.00","144.89","141.99","1.10M","1.13%"
"Nov 06, 2018","141.89","144.10","145.90","138.15","1.78M","-2.43%"
"Nov 05, 2018","145.42","146.50","146.50","142.00","1.03M","-1.17%"
"Nov 02, 2018","147.14","144.20","150.10","144.20","2.75M","1.94%"
"Nov 01, 2018","144.34","145.00","146.50","142.50","1.43M","0.24%"
"Oct 31, 2018","144.00","145.10","147.49","141.76","1.77M","0.00%"
"Oct 30, 2018","144.00","139.00","145.27","138.36","3.61M","4.08%"
"Oct 29, 2018","138.36","135.10","138.36","134.50","3.03M","4.90%"
"Oct 26, 2018","131.90","125.00","131.90","123.51","5.30M","5.00%"
"Oct 25, 2018","125.62","133.00","136.99","124.79","8.52M","-4.36%"
"Oct 24, 2018","131.35","129.00","131.35","129.00","2.80M","5.08%"
"Oct 23, 2018","125.00","128.01","128.50","125.00","1.20M","-3.11%"
"Oct 22, 2018","129.01","127.80","130.97","127.51","2.56M","1.50%"
"Oct 19, 2018","127.10","126.61","128.50","125.50","1.49M","-0.70%"
"Oct 18, 2018","128.00","128.55","131.00","125.15","1.31M","-1.17%"
"Oct 17, 2018","129.51","129.49","130.50","128.00","1.05M","1.50%"
"Oct 16, 2018","127.60","130.50","132.99","127.00","1.21M","-2.60%"
"Oct 15, 2018","131.00","131.25","133.99","126.51","2.19M","-0.76%"
"Oct 12, 2018","132.00","133.98","132.79","127.50","2.53M","-0.98%"
"Oct 11, 2018","133.31","138.49","138.49","133.05","439.90K","-3.31%"
"Oct 10, 2018","137.88","137.79","139.48","134.51","2.07M","0.79%"
"Oct 09, 2018","136.80","136.00","141.69","134.00","3.46M","1.37%"
"Oct 08, 2018","134.95","140.51","142.00","134.95","1.79M","-5.00%"
"Oct 05, 2018","142.05","144.10","146.50","138.48","1.17M","-1.53%"
"Oct 04, 2018","144.26","148.99","148.99","144.02","219.80K","-2.86%"
"Oct 03, 2018","148.50","149.56","149.98","148.00","81.80K","-0.40%"
"Oct 02, 2018","149.10","152.79","152.79","148.51","381.20K","-1.27%"
"Oct 01, 2018","151.02","152.50","152.99","150.13","459.50K","-0.23%"
"Sep 28, 2018","151.37","148.00","152.00","146.50","1.23M","2.71%"
"Sep 27, 2018","147.38","148.00","148.00","145.70","419.50K","0.35%"
"Sep 26, 2018","146.86","149.00","149.00","145.51","421.00K","-0.77%"
"Sep 25, 2018","148.00","148.99","149.98","148.00","246.30K","-0.30%"
"Sep 24, 2018","148.44","147.50","151.00","147.00","1.17M","1.21%"
"Sep 19, 2018","146.67","146.00","148.99","143.50","1.30M","0.83%"
"Sep 18, 2018","145.46","143.98","146.50","141.72","2.68M","1.55%"
"Sep 17, 2018","143.24","144.69","144.69","141.35","938.90K","-1.21%"
"Sep 14, 2018","145.00","148.50","148.50","142.06","4.93M","-1.66%"
"Sep 13, 2018","147.45","147.00","148.61","144.05","1.25M","0.72%"
"Sep 12, 2018","146.39","148.49","148.49","145.80","325.60K","-0.41%"
"Sep 11, 2018","147.00","148.89","149.99","146.20","308.50K","-0.33%"
"Sep 10, 2018","147.49","151.21","152.50","147.05","958.10K","-2.78%"
"Sep 07, 2018","151.70","154.90","154.90","151.25","379.50K","-1.81%"
"Sep 06, 2018","154.50","152.72","154.80","151.82","656.90K","1.31%"
"Sep 05, 2018","152.50","152.50","152.89","150.40","974.20K","0.33%"
"Sep 04, 2018","152.00","151.70","152.65","151.10","241.50K","0.66%"
"Sep 03, 2018","151.00","151.50","152.00","150.51","348.10K","0.27%"
"Aug 31, 2018","150.60","151.75","152.80","150.50","1.48M","-0.61%"
"Aug 30, 2018","151.52","154.00","154.00","151.01","573.40K","-1.29%"
"Aug 29, 2018","153.50","153.94","154.35","153.50","235.90K","-0.07%"
"Aug 28, 2018","153.61","153.90","154.10","153.00","830.40K","0.08%"
"Aug 27, 2018","153.49","153.00","154.00","152.25","992.90K","0.33%"
"Aug 24, 2018","152.99","155.00","156.00","152.40","676.30K","-0.66%"
"Aug 20, 2018","154.00","152.98","156.98","151.60","1.22M","1.64%"
"Aug 17, 2018","151.51","152.02","154.05","151.13","2.54M","-0.32%"
"Aug 16, 2018","151.99","155.40","156.50","151.02","2.04M","-2.64%"
"Aug 15, 2018","156.11","158.88","159.39","156.00","403.40K","-1.23%"
"Aug 13, 2018","158.05","161.20","161.85","158.05","557.80K","-1.62%"
"Aug 10, 2018","160.65","161.98","162.49","159.81","1.80M","-0.21%"
"Aug 09, 2018","160.99","160.28","162.00","160.00","703.30K","-0.01%"
"Aug 08, 2018","161.00","161.25","162.75","160.00","646.40K","0.13%"
"Aug 07, 2018","160.79","165.18","165.50","160.46","1.04M","-1.06%"
"Aug 06, 2018","162.52","162.70","165.00","162.00","770.40K","0.29%"
"Aug 03, 2018","162.05","163.75","164.00","159.03","5.03M","-3.13%"
"Aug 02, 2018","167.29","176.95","177.51","167.29","2.23M","-4.85%"
"Aug 01, 2018","175.81","175.30","179.50","172.00","619.50K","-0.95%"
"Jul 31, 2018","177.50","185.52","185.52","176.60","1.79M","-3.95%"
"Jul 30, 2018","184.80","183.00","188.60","181.60","2.94M","2.86%"
"Jul 27, 2018","179.66","173.49","180.95","171.60","2.80M","4.67%"
"Jul 26, 2018","171.65","175.00","175.00","169.99","1.85M","1.57%"
"Jul 24, 2018","169.00","167.00","170.55","165.75","1.82M","1.16%"
"Jul 23, 2018","167.06","170.00","171.80","166.10","854.00K","-2.14%"
"Jul 20, 2018","170.71","175.00","175.00","170.00","978.10K","-2.38%"
"Jul 19, 2018","174.88","175.00","176.00","172.25","1.75M","2.86%"
"Jul 18, 2018","170.01","164.50","170.50","164.50","2.10M","3.92%"
"Jul 17, 2018","163.60","163.50","165.99","161.30","784.30K","-0.27%"
"Jul 16, 2018","164.04","170.00","171.00","160.00","3.64M","-2.32%"
"Jul 13, 2018","167.94","159.00","167.94","159.00","2.36M","5.29%"
"Jul 12, 2018","159.50","158.30","161.00","155.00","996.60K","0.63%"
"Jul 11, 2018","158.50","160.00","163.00","157.05","942.00K","-1.55%"
"Jul 10, 2018","161.00","157.02","162.75","155.10","1.97M","2.88%"
"Jul 09, 2018","156.50","162.00","162.00","156.04","1.12M","-3.99%"
"Jul 06, 2018","163.00","163.89","163.89","158.50","395.00K","1.39%"
"Jul 05, 2018","160.76","162.70","163.00","160.00","837.90K","-0.42%"
"Jul 04, 2018","161.44","166.50","166.50","160.12","665.50K","-3.36%"
"Jul 03, 2018","167.05","169.39","169.50","167.00","365.80K","-0.60%"
"Jul 02, 2018","168.06","167.89","169.50","167.00","442.40K","0.97%"
