Date,Open,High,Low,Close,Volume,Change
2019-01-24 19:00:00,306.35,308.09,302.82,305.8,494700,0.11
2019-01-23 19:00:00,307.27,311.82,304.55,305.69,1732300,2.85
2019-01-22 19:00:00,301.68,305.23,299.18,302.85,768500,2.01
2019-01-21 19:00:00,298.64,302.27,296.36,300.84,573000,2.85
2019-01-20 19:00:00,297.29,301.35,296.59,297.98,490600,-0.03
2019-01-17 19:00:00,300.0,301.72,295.57,298.01,349500,-0.62
2019-01-16 19:00:00,298.2,299.09,293.65,298.63,609900,-0.65
2019-01-15 19:00:00,301.82,304.08,298.5,299.28,411500,-3.45
2019-01-14 19:00:00,295.43,304.36,295.43,302.73,1606000,7.77
2019-01-13 19:00:00,293.65,296.35,291.83,294.95,459900,2.85
2019-01-10 19:00:00,298.77,304.49,290.95,292.11,1468100,-6.46
2019-01-09 19:00:00,295.41,299.91,292.75,298.57,572400,3.84
2019-01-08 19:00:00,298.01,298.64,293.27,294.74,259500,-1.61
2019-01-07 19:00:00,295.45,300.9,295.45,296.35,1030600,1.25
2019-01-06 19:00:00,285.09,295.45,285.09,295.09,1185600,10.04
2019-01-03 19:00:00,286.82,288.18,284.55,285.05,388100,-1.3
2019-01-02 19:00:00,280.9,289.09,276.82,286.35,912700,5.67
2019-01-01 19:00:00,280.45,286.36,276.82,280.68,880900,2.92
2018-12-31 19:00:00,268.14,277.85,268.14,277.76,497100,13.15
